id,home,away,video
201512090WAS,WAS,HOU,J5p-T8e94B0
201512120HOU,HOU,LAL,Njli-q9O5k0
201512140DEN,DEN,HOU,6B4g_PWNmAg
201512150SAC,SAC,HOU,FPzAYPmsWJo
201512170LAL,LAL,HOU,OFPR9zAVUlA
201512190HOU,HOU,LAC,J5-B-uz3N9U
201512250HOU,HOU,SAS,Lcvsa1jqXcQ
201512290HOU,HOU,ATL,0WG0Bj7C6C0
201601020SAS,SAS,HOU,XuBEnCqfKmw
201601040UTA,UTA,HOU,bRFdAUBvTi0
201601070HOU,HOU,UTA,rC_kEGVl-sA
201601100HOU,HOU,IND,g0b_64RapGA
201601120MEM,MEM,HOU,Es0AvuWIzdQ
201601130HOU,HOU,MIN,tkHrWRaqBuM
201601150HOU,HOU,CLE,JxUrC-hj5dw
201601170LAL,LAL,HOU,q3v4Vui85bg
201601180LAC,LAC,HOU,6iphPbU1YT4
201601200HOU,HOU,DET,-na3B4u9tCQ
201601220HOU,HOU,MIL,Nm8O6BVXp3s
201601240HOU,HOU,DAL,H-z55Bt50GY
201601270SAS,SAS,HOU,QNn8NOqrQfE
201601290OKC,OKC,HOU,7CZ216Spzpc
201601300HOU,HOU,WAS,Oe_8IVTbIU0
201602020HOU,HOU,MIA,HYsLp7zi0MQ
201602040PHO,PHO,HOU,bRFdAUBvTi0
201602060HOU,HOU,POR,79ZGER3Xa08
201602100POR,POR,HOU,fXdtycMuG84
201602190PHO,PHO,HOU,YZmUieft1oM
201602230UTA,UTA,HOU,rC_kEGVl-sA
201602250POR,POR,HOU,AQUg-pSVzB4
201602270HOU,HOU,SAS,QNn8NOqrQfE
201602290MIL,MIL,HOU,w_t_LaKLlxY
201603050CHI,CHI,HOU,Kwc31yjH2Wk
201603060TOR,TOR,HOU,TR2DxBJU9ew
201603090PHI,PHI,HOU,gPZEpb_cPmM
201603110BOS,BOS,HOU,YVIfrKT02wg
201603140HOU,HOU,MEM,KDy4nYPECUw
201603160HOU,HOU,LAC,MyMUEPv3XQI
201603180HOU,HOU,MIN,h7CWpNDpC9Y
201603190ATL,ATL,HOU,0WG0Bj7C6C0
201603220OKC,OKC,HOU,1HulphGDibY
201603230HOU,HOU,UTA,t0dPVNAb12I
201603250HOU,HOU,TOR,6He-poD5ThQ
201603270IND,IND,HOU,g0b_64RapGA
201603290CLE,CLE,HOU,-aJUdA0P6EY
201603310HOU,HOU,CHI,H-z55Bt50GY
201604030HOU,HOU,OKC,9A8jOmJMLJM
201604060DAL,DAL,HOU,5RJ2HBDxDSQ
201604070HOU,HOU,PHO,VYn-BJ5_RyA
201604100HOU,HOU,LAL,l0D95AzZZC4
201604110MIN,MIN,HOU,jJXc_5NBlG4
201604130HOU,HOU,SAC,gKnrW_SPnFE
201510280LAL,LAL,MIN,Sj0JYHrYu38
201510300SAC,SAC,LAL,UIjZQc-KTpI
201511010LAL,LAL,DAL,x6d5JdoLu7Q
201511030LAL,LAL,DEN,BQiFuM6r1sM
201511060BRK,BRK,LAL,FFjTj6HbJNU
201511100MIA,MIA,LAL,czq7usfGiZY
201511130DAL,DAL,LAL,KwxurH0dGmA
201511150LAL,LAL,DET,WeG5yXrO63k
201511160PHO,PHO,LAL,ytwXXFvxElE
201511200LAL,LAL,TOR,BBhLjj9L90E
201511220LAL,LAL,POR,pAOZVyi79xw
201511280POR,POR,LAL,gHPubcpGkrk
201511290LAL,LAL,IND,R0JsM9yhIB8
201512010PHI,PHI,LAL,vokice5FqkI
201512020WAS,WAS,LAL,vokice5FqkI
201512040ATL,ATL,LAL,3bcodZVIH80
201512060DET,DET,LAL,X4Nzc-Mc-88
201512070TOR,TOR,LAL,vokice5FqkI
201512090MIN,MIN,LAL,3J5Z_4XkfOw
201512110SAS,SAS,LAL,Q833YmroNoo
201512150LAL,LAL,MIL,e2q_ViuCErY
201512190OKC,OKC,LAL,3bcodZVIH80
201512220DEN,DEN,LAL,nEOIonjs1GU
201512230LAL,LAL,OKC,vokice5FqkI
201512250LAL,LAL,LAC,RtP0AZbFvHI
201512270MEM,MEM,LAL,vokice5FqkI
201512300BOS,BOS,LAL,W3CYDn8zzcQ
201601010LAL,LAL,PHI,8-SfvDjc62A
201601030LAL,LAL,PHO,X9k4iZSJt_k
201601070SAC,SAC,LAL,iQY6g0DMHIY
201601080LAL,LAL,OKC,20uAYozx_5U
201601100LAL,LAL,UTA,Y8EDlDvyoZw
201601160UTA,UTA,LAL,o_BBKI3zcTQ
201601200LAL,LAL,SAC,JnY6rd71C38
201601220LAL,LAL,SAS,7DT_8xZwDRU
201601230POR,POR,LAL,pAOZVyi79xw
201601260LAL,LAL,DAL,bP9vLRvEmjY
201601280LAL,LAL,CHI,2zqhXDqKoAY
201601290LAC,LAC,LAL,7DT_8xZwDRU
201602020LAL,LAL,MIN,hDsLf5QKa6c
201602060SAS,SAS,LAL,o_BBKI3zcTQ
201602080IND,IND,LAL,5OwyjBMRVwk
